SENT	QUERY-ID	RELATION-DESCRIPTION	IS-RELEVANT	IS-TOP-10
N95 respirators that tightly seal around the mouth and nose are typically worn by healthcare providers caring for patients with infectious conditions that transmit via [[aerosolized]] <<pathogens>> .	46	persistence-place	1	0
When a patient coughs or sneezes , [[aerial droplets]] containing <<virus>> may be inhaled by susceptible individuals .	46	persistence-place	1	0
The especially contagious <<SARS-CoV-2 virus>> potentially remains viable for several days on [[surfaces]] after nebulization ( 7 ) , such as may occur in contaminated CT rooms .	46	persistence-place	1	0
Handwashing is a key component of guidance to reduce transmission of the SARS-CoV-2 virus , responsible for the COVID-19 pandemic .	46	persistence-place	0	0
Human coronaviruses can be efficiently inactivated within 1 min using surface disinfection procedures with 62 - 71 % ethanol , 0.5 % hydrogen peroxide or 0.1 % sodium hypochlorite [ 85 ] .	46	persistence-place	0	0
<<Enteric viruses>> may originate from human wastewater and can undergo rapid transport through [[aquatic environments]] with minimal decay .	46	persistence-place	1	0
Prevention of <<SARS-CoV-2 infection>> must consider its spread through [[air and the size of droplets]] ( < 5 µm or > 5 µm ) .	46	persistence-place	1	0
Interestingly , <<human coronaviruses>> are able to survive on [[steel , metal , wood , aluminum , paper , glass , plastic , ceramic , disposable gowns , and surgical gloves]] for 2 - 9 days .	46	persistence-place	1	0
<<Bovine coronavirus>> can remain infectious for up to 3 days in [[soil , feces , and bedding materials]] .	46	persistence-place	1	0
Consequently , use of the <<NTD>> as a mucosal vaccine material is a plausible vaccination strategy to protect against [[PEDV infection]] .	42	pretreatments	1	1
Based on these data , it appears that prophylactic treatment with <<TcB antibodies>> can be an effective countermeasure against [[ZIKV infection]] .	42	pretreatments	1	1
Moreover , <<MVA>> is considered to be a prime candidate vaccine for safer protection against [[orthopoxvirus infections]] .	42	pretreatments	1	1
These data clearly indicate that <<a double inactivated whole virus vaccine>> is a promising candidate for an effective human vaccine .	42	pretreatments	0	1
This observation indicates that the [[PTC virus]] <<vaccine>> may have potential therapeutic effects in addition to its prophylactic potency .	42	pretreatments	1	1
The data generated in this animal model show that administration of <<a human monoclonal antibody>> might offer a feasible and effective prophylaxis for the control of [[human SARS coronavirus infection]] .	42	pretreatments	1	1
The clinical studies conducted on these different vaccine candidates highlights the importance of humoral immunity in controlling CHIKV infection .	42	pretreatments	0	1
These results indicate that <<TUDCA>> is a highly effective prophylactic treatment against [[IAV-induced disease]] .	42	pretreatments	1	1
These suggest that <<antiserum treatment>> is clinically useful for post-exposure prophylaxis against [[SFTSV infection]] .	42	pretreatments	1	1
This study clearly suggests that this vaccine elicits both humoral and cell-mediated immune responses in mice , providing its immunogenic potential .	42	pretreatments	0	1
These data indicate that <<passive transfer of antibodies>> can be an effective prophylactic therapy against [[HRV infection]] .	42	pretreatments	1	1
These findings show that <<DNA vaccines based on the spike glycoprotein>> may lead to effective immune responses with protective immunity in animal models .	42	pretreatments	0	0
However , these results together suggest that <<the immunotherapy with Leish-110f ®>> can be an important adjunct to [[anti-CanL]] therapeutic protocol that uses lower doses of Glucantime ® .	42	pretreatments	1	0
These findings pointed at possible importance of antibodies in the protection against [[invasive diseases]] and suggested that addition of <<IV polyclonal immunoglobulins ( IVIG )>> to the treatment may be useful as an adjunctive therapy .	42	pretreatments	1	0
These studies suggest that <<rAAV vectors>> are promising vaccine and immunoprophylaxis vectors .	42	pretreatments	0	0
Our results suggest that <<antiserum treatment>> may be clinically useful for post-exposure prophylaxis against [[SFTSV]] infection .	42	pretreatments	1	0
The additional administration of <<recombinant L. casei expressing HPV16 E6>> may enhance its therapeutic efficacy .	42	pretreatments	0	0
<<The MV vector>> thus appears appropriate for developing a safe and cost-effective [[CHIKV]] vaccine to be used in the case of CHIKV emergence .	42	pretreatments	1	0
These clinical studies support that plant cell-derived influenza VLP vaccines would be safe and immunogenic .	42	pretreatments	0	0
These data suggest the ZYYR-2014 could provide better protection against homologous IBV challenge .	42	pretreatments	0	0
This finding further implicates the potential usefulness of these drugs as antiviral agents to treat acute PED infection .	42	pretreatments	0	0
Given that the mice exhibited high survival rates when ribavirin was administered , it is considered to have protection and transmission delay effects on FMDV , an RNA virus .	42	pretreatments	0	0
<<Chronic disseminated disease>> may take the form of lymphadenopathy , painful oropharyngeal ulceration or destruction of tissues such as the [[adrenal glands]] .	53	involved organs	1	1
<<NTM>> may cause a wide spectrum of [[pulmonary and extrapulmonary]] disease , but most frequently cause fibronodular bronchiectasis or cavitation .	53	involved organs	1	1
Generalized [[hepatomegaly]] can be caused by a number of conditions including <<neoplasia , vacuolar hepatopathies , congestion , or amyloidosis>> .	53	involved organs	1	1
<<Sinus disease>> may be a part of multisystem or systemic conditions that frequently also involve the [[nasal passages , eyes , upper and lower airways , and even the gastrointestinal tract]] .	53	involved organs	1	1
Patients with <<CNS blastomycosis>> may present with acute or chronic meningitis or mass lesions of [[the brain or spinal cord]] including multiple or single abscesses or granulomas .	53	involved organs	1	1
Less commonly , <<a range of viral infections other than mumps>> may be complicated by inflammatory lesions in the [[testis ]].	53	involved organs	1	1
<<Proliferative GN>> may be associated with either Q fever [[endocarditis , rhabdomyolysis]] , or a chronic infection elsewhere in the body .	53	involved organs	1	1
<<Polycystic hepatic cysts>> may be associated with cystic lesions in other organs , most notably the [[kidneys]] .	53	involved organs	1	1
<<A wide variety of infections>> may present with [[pulmonary]] symptoms .	53	involved organs	1	1
<<A number of granulomatous diseases>> may involve [[the nose and sinuses]] as part of the generalized disease , or nasal symptoms may be the first manifestation .	53	involved organs	1	1
<<Bacterial conjunctivitis>> may be an extension of infection from [[the upper respiratory system]] or secondary to an opportunistic infection by the normal conjunctival flora .	53	involved organs	1	1
<<Necrotic lesions associated with hyphae>> can be found in [[the brain]] in some cases , often with a limited inflammatory component .	53	involved organs	1	0
<<Inflammation>> of [[the pancreatic parenchyma]] may occur as a specific entity ( usually in the dog ) or as a component of a variety of systemic or multifocal diseases or conditions that impact this organ .	53	involved organs	1	0
Secondary tonsillitis may be associated with systemic disease or local predisposing anatomic or pathologic factors .	53	involved organs	0	0
<<Some parasites>> invade [[the alveolar parenchyma]] , resulting in a pattern of miliary small nodules or pneumonitis .	53	involved organs	1	0
<<Lymphoreticular lesions>> also are typified by necrosis , which can affect [[thymus , lymph nodes , and spleen]] .	53	involved organs	1	0
153 Patients may have a variety of signs and symptoms , depending on the organs involved and the size of the fungal inoculum .	53	involved organs	0	0
A number of tumors related to viral infection may also occur late , with warts ( verruca vulgaris ) the most frequent infection .	53	involved organs	0	0
Although <<eosinophilic enterocolitis>> is confined to [[the GI tract]] , hypereosinophilic syndrome may involve the liver , spleen , lymph nodes , bone marrow , lung , pancreas , adrenal glands , or skin .	53	involved organs	1	0
URTIs are common but rarely life threatening , whereas LRTIs can lead to more severe illnesses , such as pneumonia and bronchiolitis .	53	involved organs	0	0
<<Tissue-invasive disease>> may manifest as [[pneumonitis , gastrointestinal disease , or hepatitis]] .	53	involved organs	1	0
In severe infection , nonsuppurative inflammation can occur in many tissues .	53	involved organs	0	0
